Label,url_length,num_dots,num_hyphens,num_at,has_https,contains_login
phishing,25,2,0,0,0,0
phishing,33,1,1,0,0,0
phishing,158,15,3,0,0,1
phishing,19,2,0,0,0,0
phishing,87,2,1,0,0,0
phishing,91,3,8,0,0,1
phishing,108,5,5,0,0,1
phishing,57,4,0,0,0,0
phishing,64,3,0,0,0,0
phishing,125,5,1,0,0,0
phishing,49,2,0,0,0,0
phishing,51,2,0,0,0,0
phishing,50,2,0,0,0,0
phishing,45,2,0,0,0,0
phishing,120,3,1,0,0,0
phishing,45,2,0,0,0,0
phishing,74,3,2,0,0,0
phishing,62,4,1,0,0,0
phishing,32,1,0,0,0,0
phishing,21,2,0,0,0,0
phishing,33,1,0,0,0,0
phishing,32,1,0,0,0,0
phishing,135,6,11,0,0,1
phishing,218,3,11,0,0,1
phishing,50,4,0,0,0,0
phishing,39,2,0,0,0,0
phishing,10,1,0,0,0,0
phishing,224,6,4,0,0,1
phishing,72,3,0,0,0,0
phishing,87,3,0,0,0,0
phishing,39,2,4,0,0,0
phishing,39,2,4,0,0,0
phishing,39,2,4,0,0,0
phishing,39,2,4,0,0,0
phishing,39,2,4,0,0,0
phishing,39,2,4,0,0,0
phishing,43,2,4,0,0,0
phishing,53,2,0,0,0,0
phishing,39,2,4,0,0,0
phishing,75,1,1,0,0,0
phishing,74,4,2,0,0,1
